Row,Gene_indx,Cluster,DE_Score
Sfi1,8668,1,4.66264959251737
Limk2,5215,1,4.00542939172994
Abhd2,270,1,3.463846944856
Emp1,3108,1,3.19364847870692
Mlph,5795,1,3.18314396899031
Thbs1,9767,2,2.25961985105258
Sema6a,8590,2,1.96442063736493
Wnk2,10834,2,1.78764971456676
Sox10,9185,2,1.78516927704675
1700025G04Rik,42,2,1.67203420274634
Lcn2,5155,3,1.7403807198217
Plet1,7191,3,1.57939917060939
Krt18,5082,3,1.54549660264639
Krt8,5093,3,1.54104415476382
Zc3h12a,10965,3,1.50366853548175
Porcn,7319,4,0.106455954169409
Mum1l1,6045,4,0.101885468751823
Hgf,4327,4,0.0995046270283406
Gstk1,4150,4,0.0812488994362411
Gng11,3997,4,0.0685809855938008
Tns1,10099,5,1.23542909668998
Smim14,9055,5,1.10876783635522
Atf6b,966,5,0.903015698328957
Col5a3,2130,5,0.792082385210144
Cry2,2283,5,0.70555850982014
Nav2,6160,6,1.98748513318944
Hunk,4528,6,1.5905685453412
Col4a1,2124,6,1.5152532796513
Jmjd1c,4856,6,1.48604142109111
Frmd4a,3663,6,1.44746554272786
